stateabb,statename,statefips,sector,sectorname,endweek,ic,emp,ic_share_emp,ic_share_sumic,ic_headline
AL,Alabama,1,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-14,14,12522.666666666666,0.0011179727427597956,0.0103397341211226,1819
AL,Alabama,1,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-21,11,12522.666666666666,8.784071550255537e-4,0.0012033694344163659,10892
AL,Alabama,1,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-28,33,12522.666666666666,0.0026352214650766613,5.552284007739548e-4,80984
AL,Alabama,1,11,"Agriculture, Forestry, Fishing, and Hunting",2020-04-04,92,12522.666666666666,0.007346678023850086,0.0013128415885383222,106739
AL,Alabama,1,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-14,6,6410.333333333333,9.359887681347825e-4,0.004431314623338257,1819
AL,Alabama,1,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-21,20,6410.333333333333,0.0031199625604492747,0.002187944426211574,10892
AL,Alabama,1,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-28,69,6410.333333333333,0.010763870833549998,0.001160932110709178,80984
AL,Alabama,1,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-04-04,93,6410.333333333333,0.014507825906089128,0.001327111605805043,106739
AL,Alabama,1,22,Utilities,2020-03-14,2,22004.333333333336,9.089118809931376e-5,0.0014771048744460858,1819
AL,Alabama,1,22,Utilities,2020-03-21,4,22004.333333333336,1.8178237619862752e-4,4.375888852423148e-4,10892
AL,Alabama,1,22,Utilities,2020-03-28,14,22004.333333333336,6.362383166951963e-4,2.3555144275258687e-4,80984
AL,Alabama,1,22,Utilities,2020-04-04,26,22004.333333333336,0.001181585445291079,3.7102044893474323e-4,106739
AL,Alabama,1,23,Construction,2020-03-14,203,94633.33333333333,0.002145121521662557,0.1499261447562777,1819
AL,Alabama,1,23,Construction,2020-03-21,390,94633.33333333333,0.004121169425854174,0.0426649163111257,10892
AL,Alabama,1,23,Construction,2020-03-28,1454,94633.33333333333,0.015364564987671716,0.024463699840161522,80984
AL,Alabama,1,23,Construction,2020-04-04,1952,94633.33333333333,0.020626981331454738,0.02785507370463918,106739
AL,Alabama,1,31-33,Manufacturing,2020-03-14,261,268622.6666666667,9.716231442370213e-4,0.19276218611521417,1819
AL,Alabama,1,31-33,Manufacturing,2020-03-21,513,268622.6666666667,0.001909742042121042,0.05612077453232688,10892
AL,Alabama,1,31-33,Manufacturing,2020-03-28,11486,268622.6666666667,0.04275886373450739,0.19325313367544375,80984
AL,Alabama,1,31-33,Manufacturing,2020-04-04,13962,268622.6666666667,0.05197625417562181,0.1992379810779571,106739
AL,Alabama,1,42,Wholesale Trade,2020-03-14,59,74486.33333333333,7.920916141216063e-4,0.04357459379615953,1819
AL,Alabama,1,42,Wholesale Trade,2020-03-21,122,74486.33333333333,0.0016378843546243384,0.013346460999890604,10892
