stateabb,statename,statefips,sector,sectorname,endweek,ic,ic_share_sumic,ic_headline,emp,ic_share_emp,emp_state_total
AL,Alabama,1,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-14,18.80797636632201,0.0103397341211226,1819,12522.666666666666,0.001501914637429888,1985864.6666666667
AL,Alabama,1,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-21,13.107099879663057,0.0012033694344163659,10892,12522.666666666666,0.001046670028720964,1985864.6666666667
AL,Alabama,1,11,"Agriculture, Forestry, Fishing, and Hunting",2020-03-28,44.96461680827795,5.552284007739548e-4,80984,12522.666666666666,0.0035906582843066937,1985864.6666666667
AL,Alabama,1,11,"Agriculture, Forestry, Fishing, and Hunting",2020-04-04,140.13139831899196,0.0013128415885383222,106739,12522.666666666666,0.011190220266103489,1985864.6666666667
AL,Alabama,1,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-14,8.06056129985229,0.004431314623338257,1819,6410.333333333333,0.0012574324735872744,1985864.6666666667
AL,Alabama,1,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-21,23.831090690296467,0.002187944426211574,10892,6410.333333333333,0.003717605536419812,1985864.6666666667
AL,Alabama,1,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-03-28,94.01692605367208,0.001160932110709178,80984,6410.333333333333,0.014666464466799244,1985864.6666666667
AL,Alabama,1,21,"Mining, Quarrying, and Oil and Gas Extraction",2020-04-04,141.65456569202448,0.001327111605805043,106739,6410.333333333333,0.022097847073790935,1985864.6666666667
AL,Alabama,1,22,Utilities,2020-03-14,2.68685376661743,0.0014771048744460858,1819,22004.333333333336,1.2210566554848726e-4,1985864.6666666667
AL,Alabama,1,22,Utilities,2020-03-21,4.766218138059293,4.375888852423148e-4,10892,22004.333333333336,2.166036146543541e-4,1985864.6666666667
AL,Alabama,1,22,Utilities,2020-03-28,19.075898039875494,2.3555144275258687e-4,80984,22004.333333333336,8.669155184528271e-4,1985864.6666666667
AL,Alabama,1,22,Utilities,2020-04-04,39.60235169884556,3.7102044893474323e-4,106739,22004.333333333336,0.0017997523987174748,1985864.6666666667
AL,Alabama,1,23,Construction,2020-03-14,272.71565731166913,0.1499261447562777,1819,94633.33333333333,0.0028818139201655774,1985864.6666666667
AL,Alabama,1,23,Construction,2020-03-21,464.70626846078113,0.0426649163111257,10892,94633.33333333333,0.004910598116880393,1985864.6666666667
AL,Alabama,1,23,Construction,2020-03-28,1981.1682678556408,0.024463699840161522,80984,94633.33333333333,0.020935205366561897,1985864.6666666667
AL,Alabama,1,23,Construction,2020-04-04,2973.2227121594815,0.02785507370463918,106739,94633.33333333333,0.031418344968222774,1985864.6666666667
AL,Alabama,1,31-33,Manufacturing,2020-03-14,350.63441654357456,0.19276218611521417,1819,268622.6666666667,0.0013053046524129554,1985864.6666666667
AL,Alabama,1,31-33,Manufacturing,2020-03-21,611.2674762061044,0.05612077453232688,10892,268622.6666666667,0.0022755617900429266,1985864.6666666667
AL,Alabama,1,31-33,Manufacturing,2020-03-28,15650.411777572137,0.19325313367544375,80984,268622.6666666667,0.058261694635742337,1985864.6666666667
AL,Alabama,1,31-33,Manufacturing,2020-04-04,21266.462862280063,0.1992379810779571,106739,268622.6666666667,0.0791685345327525,1985864.6666666667
AL,Alabama,1,42,Wholesale Trade,2020-03-14,79.26218611521418,0.04357459379615953,1819,74486.33333333333,0.0010641171684543588,1985864.6666666667
AL,Alabama,1,42,Wholesale Trade,2020-03-21,145.36965321080845,0.013346460999890604,10892,74486.33333333333,0.0019516285297635153,1985864.6666666667
AL,Alabama,1,42,Wholesale Trade,2020-03-28,1218.1323462606208,0.015041642130058047,80984,74486.33333333333,0.016353769768869736,1985864.6666666667
AL,Alabama,1,42,Wholesale Trade,2020-04-04,2162.8976697061803,0.020263424518743668,106739,74486.33333333333,0.029037510277583545,1985864.6666666667
AL,Alabama,1,44-45,Retail Trade,2020-03-14,249.87740029542098,0.13737075332348597,1819,229777,0.0010874778602532934,1985864.6666666667
